order_id,order_date,order_time,store_id,city,customer_id,pizza_name,category,size,quantity,unit_price,discount,gst,total_amount,order_type,payment_method,month,day_of_week,hour,discount_category,weekend_flag,peak_hour,order_value,year,month_name,day_name,day_number,hour_bucket
100051,2025-03-07,20:06:00,,Ghaziabad,,Cheese n Corn,Veg,Regular,2,249.0,49.8,22.41,470.61,Takeaway,Credit Card,3,Thursday,20,Low Discount,Weekday,Peak,Low-Value,2025,March,Friday,5,Peak Evening
100053,2025-10-05,15:39:00,,Delhi,,Veg Extravaganza,Veg,Personal,4,319.2,127.68,57.46,1206.58,Delivery,Wallet,10,Saturday,15,High Discount,Weekend,Non-Peak,High-Value,2025,October,Sunday,7,Afternoon
100054,2025-08-12,17:20:00,,Hyderabad,,Veg Extravaganza,Veg,Personal,1,319.2,31.92,14.36,301.64,Delivery,Cash,8,Monday,17,Low Discount,Weekday,Non-Peak,Low-Value,2025,August,Tuesday,2,Peak Evening
100055,2025-01-02,17:23:00,,Chennai,,Chicken Sausage,Chicken,Medium,1,492.7,0.0,24.64,517.34,Delivery,Debit Card,1,Saturday,17,No Discount,Weekday,Non-Peak,Mid-Value,2025,January,Thursday,4,Peak Evening
100058,2025-04-03,16:38:00,,Gurugram,,Paneer Makhani,Veg,Medium,2,453.7,45.37,43.1,905.13,Takeaway,UPI,4,Tuesday,16,Low Discount,Weekday,Non-Peak,Mid-Value,2025,April,Thursday,4,Afternoon
100059,2025-12-12,19:58:00,,Ghaziabad,,Veg Extravaganza,Veg,Medium,4,518.7,0.0,103.74,2178.54,Takeaway,Credit Card,12,Friday,19,No Discount,Weekday,Peak,High-Value,2025,December,Friday,5,Peak Evening
100062,2025-05-01,21:59:00,,Jaipur,,Veg Extravaganza,Veg,Personal,1,319.2,47.88,13.57,284.89,Delivery,Wallet,5,Sunday,21,Low Discount,Weekday,Peak,Low-Value,2025,May,Thursday,4,Peak Evening
100067,2025-08-11,16:11:00,,Chennai,,Indi Tandoori Paneer,Veg,Large,4,686.4,0.0,137.28,2882.88,Takeaway,Debit Card,8,Saturday,16,No Discount,Weekday,Non-Peak,High-Value,2025,August,Monday,1,Afternoon
100069,2025-10-11,21:11:00,,Ghaziabad,,Indi Tandoori Paneer,Veg,Personal,4,343.2,68.64,65.21,1369.37,Dine-in,Credit Card,10,Monday,21,Medium Discount,Weekend,Peak,High-Value,2025,October,Saturday,6,Peak Evening
100070,2025-11-07,16:55:00,,Gurugram,,Indi Chicken Tikka,Chicken,Personal,2,399.2,119.76,33.93,712.57,Takeaway,Cash,11,Friday,16,High Discount,Weekday,Non-Peak,Mid-Value,2025,November,Friday,5,Afternoon
100071,2025-01-05,11:08:00,,Noida,,Indi Tandoori Paneer,Veg,Large,2,686.4,0.0,68.64,1441.44,Delivery,Cash,1,Thursday,11,No Discount,Weekend,Non-Peak,High-Value,2025,January,Sunday,7,Morning
100072,2025-02-08,14:36:00,,Delhi,,Indi Tandoori Paneer,Veg,Regular,3,429.0,0.0,64.35,1351.35,Dine-in,Debit Card,2,Saturday,14,No Discount,Weekend,Non-Peak,High-Value,2025,February,Saturday,6,Afternoon
100076,2025-10-01,20:47:00,,Mumbai,,Cheese n Corn,Veg,Medium,1,323.7,32.37,14.57,305.9,Dine-in,UPI,10,Friday,20,Low Discount,Weekday,Peak,Low-Value,2025,October,Wednesday,3,Peak Evening
100080,2025-11-03,17:23:00,,Chennai,,Indi Tandoori Paneer,Veg,Large,4,686.4,411.84,116.69,2450.45,Delivery,Credit Card,11,Tuesday,17,High Discount,Weekday,Non-Peak,High-Value,2025,November,Monday,1,Peak Evening
100086,2025-10-07,22:08:00,,Gurugram,,Indi Tandoori Paneer,Veg,Large,4,686.4,137.28,130.42,2738.74,Takeaway,Debit Card,10,Thursday,22,High Discount,Weekday,Non-Peak,High-Value,2025,October,Tuesday,2,Late Night
100087,2025-01-06,18:26:00,,Delhi,,Chicken Sausage,Chicken,Regular,3,379.0,113.7,51.16,1074.46,Takeaway,UPI,1,Sunday,18,High Discount,Weekday,Peak,High-Value,2025,January,Monday,1,Peak Evening
100090,2025-04-10,17:04:00,,Hyderabad,,Indi Tandoori Paneer,Veg,Personal,4,343.2,0.0,68.64,1441.44,Delivery,Wallet,4,Saturday,17,No Discount,Weekday,Non-Peak,High-Value,2025,April,Thursday,4,Peak Evening
100097,2025-11-03,11:55:00,,Delhi,,Chicken Sausage,Chicken,Large,4,606.4,0.0,121.28,2546.88,Delivery,UPI,11,Tuesday,11,No Discount,Weekday,Non-Peak,High-Value,2025,November,Monday,1,Morning
100100,2025-05-11,15:22:00,,Gurugram,,Veg Extravaganza,Veg,Large,2,638.4,63.84,60.65,1273.61,Dine-in,Debit Card,5,Wednesday,15,Medium Discount,Weekend,Non-Peak,High-Value,2025,May,Sunday,7,Afternoon
100101,2025-11-11,14:56:00,,Hyderabad,,Margherita,Veg,Large,1,238.4,0.0,11.92,250.32,Delivery,UPI,11,Tuesday,14,No Discount,Weekday,Non-Peak,Low-Value,2025,November,Tuesday,2,Afternoon
100102,2025-04-02,19:26:00,,Noida,,Paneer Makhani,Veg,Large,3,558.4,0.0,83.76,1758.96,Takeaway,Cash,4,Tuesday,19,No Discount,Weekday,Peak,High-Value,2025,April,Wednesday,3,Peak Evening
100108,2025-03-04,13:17:00,,Ghaziabad,,Chicken Dominator,Chicken,Regular,1,599.0,0.0,29.95,628.95,Delivery,Wallet,3,Thursday,13,No Discount,Weekday,Non-Peak,Mid-Value,2025,March,Tuesday,2,Afternoon
100110,2025-07-05,19:10:00,,Hyderabad,,Pepper Barbecue Chicken,Chicken,Medium,1,583.7,0.0,29.19,612.89,Takeaway,Credit Card,7,Wednesday,19,No Discount,Weekend,Peak,Mid-Value,2025,July,Saturday,6,Peak Evening
100111,2025-11-12,19:39:00,,Gurugram,,Indi Chicken Tikka,Chicken,Medium,1,648.7,97.31,27.57,578.96,Delivery,Credit Card,11,Thursday,19,Medium Discount,Weekday,Peak,Mid-Value,2025,November,Wednesday,3,Peak Evening
100112,2025-09-09,21:42:00,,Bengaluru,,Indi Chicken Tikka,Chicken,Large,2,798.4,239.52,67.86,1425.14,Takeaway,Wallet,9,Tuesday,21,High Discount,Weekday,Peak,High-Value,2025,September,Tuesday,2,Peak Evening
100113,2025-05-05,18:53:00,,Chennai,,Indi Tandoori Paneer,Veg,Large,2,686.4,0.0,68.64,1441.44,Delivery,Cash,5,Monday,18,No Discount,Weekday,Peak,High-Value,2025,May,Monday,1,Peak Evening
100117,2025-11-10,17:11:00,,Bengaluru,,Pepper Barbecue Chicken,Chicken,Regular,3,449.0,67.35,63.98,1343.63,Delivery,Debit Card,11,Saturday,17,Medium Discount,Weekday,Non-Peak,High-Value,2025,November,Monday,1,Peak Evening
100123,2025-12-02,18:50:00,,Ghaziabad,,Chicken Sausage,Chicken,Medium,3,492.7,73.91,70.21,1474.4,Dine-in,UPI,12,Wednesday,18,Medium Discount,Weekday,Peak,High-Value,2025,December,Tuesday,2,Peak Evening
100127,2025-09-02,18:39:00,,Mumbai,,Veg Extravaganza,Veg,Medium,2,518.7,51.87,49.28,1034.81,Takeaway,Wallet,9,Sunday,18,Medium Discount,Weekday,Peak,High-Value,2025,September,Tuesday,2,Peak Evening
100134,2025-01-11,22:49:00,,Hyderabad,,Indi Tandoori Paneer,Veg,Medium,4,557.7,0.0,111.54,2342.34,Dine-in,Debit Card,1,Saturday,22,No Discount,Weekend,Non-Peak,High-Value,2025,January,Saturday,6,Late Night
100138,2025-08-02,17:41:00,,Pune,,Chicken Dominator,Chicken,Regular,2,599.0,179.7,50.91,1069.21,Takeaway,Credit Card,8,Saturday,17,High Discount,Weekend,Non-Peak,High-Value,2025,August,Saturday,6,Peak Evening
100142,2025-01-11,12:48:00,,Jaipur,,Chicken Dominator,Chicken,Large,2,958.4,191.68,86.26,1811.38,Delivery,Cash,1,Saturday,12,High Discount,Weekend,Non-Peak,High-Value,2025,January,Saturday,6,Afternoon
100143,2025-04-05,19:41:00,,Hyderabad,,Indi Chicken Tikka,Chicken,Regular,3,499.0,224.55,63.62,1336.07,Dine-in,Cash,4,Sunday,19,High Discount,Weekend,Peak,High-Value,2025,April,Saturday,6,Peak Evening
100146,2025-11-06,18:27:00,,Noida,,Indi Chicken Tikka,Chicken,Personal,4,399.2,239.52,67.86,1425.14,Delivery,Credit Card,11,Wednesday,18,High Discount,Weekday,Peak,High-Value,2025,November,Thursday,4,Peak Evening
100149,2025-07-03,22:05:00,,Ghaziabad,,Cheese n Corn,Veg,Medium,4,323.7,0.0,64.74,1359.54,Delivery,Credit Card,7,Friday,22,No Discount,Weekday,Non-Peak,High-Value,2025,July,Thursday,4,Late Night
100151,2025-11-02,13:21:00,,Pune,,Indi Chicken Tikka,Chicken,Regular,2,499.0,49.9,47.41,995.51,Delivery,Cash,11,Tuesday,13,Low Discount,Weekend,Non-Peak,Mid-Value,2025,November,Sunday,7,Afternoon
100153,2025-07-07,15:20:00,,Gurugram,,Cheese n Corn,Veg,Regular,3,249.0,0.0,37.35,784.35,Dine-in,Cash,7,Monday,15,No Discount,Weekday,Non-Peak,Mid-Value,2025,July,Monday,1,Afternoon
100157,2025-12-11,12:38:00,,Noida,,Veg Extravaganza,Veg,Large,1,638.4,0.0,31.92,670.32,Takeaway,Debit Card,12,Wednesday,12,No Discount,Weekday,Non-Peak,Mid-Value,2025,December,Thursday,4,Afternoon
100160,2025-01-10,17:19:00,,Mumbai,,Cheese n Corn,Veg,Medium,1,323.7,0.0,16.18,339.88,Delivery,Credit Card,1,Wednesday,17,No Discount,Weekday,Non-Peak,Low-Value,2025,January,Friday,5,Peak Evening
100162,2025-04-02,13:42:00,,Chennai,,Pepper Barbecue Chicken,Chicken,Medium,2,583.7,0.0,58.37,1225.77,Delivery,Credit Card,4,Tuesday,13,No Discount,Weekday,Non-Peak,High-Value,2025,April,Wednesday,3,Afternoon
100168,2025-08-08,11:34:00,,Gurugram,,Cheese n Corn,Veg,Regular,2,249.0,74.7,21.17,444.47,Takeaway,Cash,8,Friday,11,Medium Discount,Weekday,Non-Peak,Low-Value,2025,August,Friday,5,Morning
100169,2025-01-04,20:25:00,,Ghaziabad,,Chicken Sausage,Chicken,Personal,1,303.2,0.0,15.16,318.36,Delivery,UPI,1,Tuesday,20,No Discount,Weekend,Peak,Low-Value,2025,January,Saturday,6,Peak Evening
100170,2025-01-01,12:43:00,,Hyderabad,,Pepper Barbecue Chicken,Chicken,Personal,4,359.2,0.0,71.84,1508.64,Dine-in,Cash,1,Wednesday,12,No Discount,Weekday,Non-Peak,High-Value,2025,January,Wednesday,3,Afternoon
100172,2025-07-08,13:22:00,,Mumbai,,Veg Extravaganza,Veg,Large,1,638.4,63.84,28.73,603.29,Delivery,Wallet,7,Thursday,13,Medium Discount,Weekday,Non-Peak,Mid-Value,2025,July,Tuesday,2,Afternoon
100175,2025-02-12,20:05:00,,Jaipur,,Paneer Makhani,Veg,Medium,4,453.7,0.0,90.74,1905.54,Delivery,UPI,2,Tuesday,20,No Discount,Weekday,Peak,High-Value,2025,February,Wednesday,3,Peak Evening
100178,2025-03-09,18:20:00,,Noida,,Indi Tandoori Paneer,Veg,Large,4,686.4,274.56,123.55,2594.59,Dine-in,Credit Card,3,Wednesday,18,High Discount,Weekend,Peak,High-Value,2025,March,Sunday,7,Peak Evening
100186,2025-01-10,13:41:00,,Ghaziabad,,Chicken Dominator,Chicken,Regular,2,599.0,59.9,56.91,1195.01,Dine-in,Credit Card,1,Wednesday,13,Medium Discount,Weekday,Non-Peak,High-Value,2025,January,Friday,5,Afternoon
100189,2025-05-01,10:12:00,,Gurugram,,Chicken Sausage,Chicken,Medium,3,492.7,73.91,70.21,1474.4,Delivery,Debit Card,5,Sunday,10,Medium Discount,Weekday,Non-Peak,High-Value,2025,May,Thursday,4,Morning
100194,2025-12-09,14:22:00,,Noida,,Pepper Barbecue Chicken,Chicken,Medium,3,583.7,0.0,87.56,1838.66,Dine-in,Debit Card,12,Friday,14,No Discount,Weekday,Non-Peak,High-Value,2025,December,Tuesday,2,Afternoon
100195,2025-08-01,18:45:00,,Pune,,Indi Tandoori Paneer,Veg,Medium,1,557.7,55.77,25.1,527.03,Dine-in,Cash,8,Wednesday,18,Medium Discount,Weekday,Peak,Mid-Value,2025,August,Friday,5,Peak Evening
100200,2025-04-10,15:03:00,,Pune,,Pepper Barbecue Chicken,Chicken,Regular,4,449.0,89.8,85.31,1791.51,Takeaway,UPI,4,Saturday,15,Medium Discount,Weekday,Non-Peak,High-Value,2025,April,Thursday,4,Afternoon
100202,2025-12-08,22:57:00,,Delhi,,Margherita,Veg,Personal,1,119.2,11.92,5.36,112.64,Takeaway,Debit Card,12,Tuesday,22,Low Discount,Weekday,Non-Peak,Low-Value,2025,December,Monday,1,Late Night
100206,2025-07-02,12:37:00,,Delhi,,Paneer Makhani,Veg,Personal,3,279.2,0.0,41.88,879.48,Takeaway,UPI,7,Friday,12,No Discount,Weekday,Non-Peak,Mid-Value,2025,July,Wednesday,3,Afternoon
100209,2025-09-05,19:31:00,,Noida,,Indi Chicken Tikka,Chicken,Medium,3,648.7,0.0,97.31,2043.41,Takeaway,Wallet,9,Friday,19,No Discount,Weekday,Peak,High-Value,2025,September,Friday,5,Peak Evening
100212,2025-07-07,14:41:00,,Ghaziabad,,Margherita,Veg,Large,2,238.4,23.84,22.65,475.61,Delivery,Cash,7,Monday,14,Low Discount,Weekday,Non-Peak,Low-Value,2025,July,Monday,1,Afternoon
100219,2025-06-04,17:02:00,,Chennai,,Margherita,Veg,Medium,4,193.7,0.0,38.74,813.54,Takeaway,Debit Card,6,Sunday,17,No Discount,Weekday,Non-Peak,Mid-Value,2025,June,Wednesday,3,Peak Evening
100227,2025-07-08,13:34:00,,Noida,,Margherita,Veg,Regular,2,149.0,44.7,12.67,265.97,Takeaway,Credit Card,7,Thursday,13,Low Discount,Weekday,Non-Peak,Low-Value,2025,July,Tuesday,2,Afternoon
100240,2025-03-05,16:25:00,,Ghaziabad,,Cheese n Corn,Veg,Regular,4,249.0,149.4,42.33,888.93,Dine-in,Debit Card,3,Saturday,16,High Discount,Weekday,Non-Peak,Mid-Value,2025,March,Wednesday,3,Afternoon
100244,2025-01-11,12:14:00,,Ghaziabad,,Margherita,Veg,Personal,2,119.2,23.84,10.73,225.29,Dine-in,Debit Card,1,Saturday,12,Low Discount,Weekend,Non-Peak,Low-Value,2025,January,Saturday,6,Afternoon
100245,2025-02-05,22:49:00,,Delhi,,Farmhouse,Veg,Large,1,478.4,71.76,20.33,426.97,Dine-in,Debit Card,2,Friday,22,Medium Discount,Weekday,Non-Peak,Low-Value,2025,February,Wednesday,3,Late Night
100249,2025-07-04,22:23:00,,Bengaluru,,Margherita,Veg,Regular,2,149.0,0.0,14.9,312.9,Takeaway,Cash,7,Monday,22,No Discount,Weekday,Non-Peak,Low-Value,2025,July,Friday,5,Late Night
100251,2025-10-02,15:39:00,,Noida,,Indi Tandoori Paneer,Veg,Regular,3,429.0,128.7,57.91,1216.21,Takeaway,UPI,10,Monday,15,High Discount,Weekday,Non-Peak,High-Value,2025,October,Thursday,4,Afternoon
100254,2025-08-12,22:55:00,,Jaipur,,Chicken Dominator,Chicken,Large,1,958.4,0.0,47.92,1006.32,Delivery,UPI,8,Monday,22,No Discount,Weekday,Non-Peak,High-Value,2025,August,Tuesday,2,Late Night
100257,2025-09-09,15:53:00,,Noida,,Chicken Sausage,Chicken,Regular,3,379.0,0.0,56.85,1193.85,Dine-in,Cash,9,Tuesday,15,No Discount,Weekday,Non-Peak,High-Value,2025,September,Tuesday,2,Afternoon
100265,2025-02-02,18:18:00,,Chennai,,Indi Chicken Tikka,Chicken,Personal,1,399.2,0.0,19.96,419.16,Takeaway,Cash,2,Sunday,18,No Discount,Weekend,Peak,Low-Value,2025,February,Sunday,7,Peak Evening
100266,2025-01-03,13:22:00,,Pune,,Pepper Barbecue Chicken,Chicken,Regular,3,449.0,202.05,57.25,1202.2,Takeaway,Debit Card,1,Saturday,13,High Discount,Weekday,Non-Peak,High-Value,2025,January,Friday,5,Afternoon
100270,2025-04-02,17:03:00,,Ghaziabad,,Paneer Makhani,Veg,Large,2,558.4,167.52,47.46,996.74,Takeaway,Debit Card,4,Tuesday,17,High Discount,Weekday,Non-Peak,Mid-Value,2025,April,Wednesday,3,Peak Evening
100271,2025-07-07,13:02:00,,Noida,,Chicken Sausage,Chicken,Regular,1,379.0,18.95,18.0,378.05,Takeaway,Cash,7,Monday,13,Low Discount,Weekday,Non-Peak,Low-Value,2025,July,Monday,1,Afternoon
100272,2025-04-03,14:13:00,,Gurugram,,Farmhouse,Veg,Medium,2,388.7,38.87,36.93,775.46,Takeaway,Wallet,4,Tuesday,14,Low Discount,Weekday,Non-Peak,Mid-Value,2025,April,Thursday,4,Afternoon
100273,2025-10-07,10:45:00,,Bengaluru,,Indi Chicken Tikka,Chicken,Personal,3,399.2,119.76,53.89,1131.73,Delivery,Credit Card,10,Thursday,10,High Discount,Weekday,Non-Peak,High-Value,2025,October,Tuesday,2,Morning
100276,2025-10-11,14:59:00,,Bengaluru,,Chicken Sausage,Chicken,Large,2,606.4,181.92,51.54,1082.42,Takeaway,Cash,10,Monday,14,High Discount,Weekend,Non-Peak,High-Value,2025,October,Saturday,6,Afternoon
100278,2025-03-09,18:25:00,,Pune,,Margherita,Veg,Medium,2,193.7,0.0,19.37,406.77,Delivery,UPI,3,Wednesday,18,No Discount,Weekend,Peak,Low-Value,2025,March,Sunday,7,Peak Evening
100280,2025-06-05,19:54:00,,Delhi,,Indi Tandoori Paneer,Veg,Regular,1,429.0,0.0,21.45,450.45,Dine-in,Debit Card,6,Tuesday,19,No Discount,Weekday,Peak,Low-Value,2025,June,Thursday,4,Peak Evening
100281,2025-10-05,12:11:00,,Chennai,,Chicken Dominator,Chicken,Personal,3,479.2,143.76,64.69,1358.53,Delivery,Cash,10,Saturday,12,High Discount,Weekend,Non-Peak,High-Value,2025,October,Sunday,7,Afternoon
100286,2025-06-08,18:27:00,,Bengaluru,,Indi Chicken Tikka,Chicken,Regular,4,499.0,299.4,84.83,1781.43,Takeaway,Debit Card,6,Wednesday,18,High Discount,Weekend,Peak,High-Value,2025,June,Sunday,7,Peak Evening
100287,2025-12-11,20:28:00,,Chennai,,Indi Tandoori Paneer,Veg,Medium,2,557.7,111.54,50.19,1054.05,Takeaway,Debit Card,12,Wednesday,20,High Discount,Weekday,Peak,High-Value,2025,December,Thursday,4,Peak Evening
100289,2025-09-05,14:52:00,,Mumbai,,Chicken Dominator,Chicken,Medium,3,778.7,350.42,99.28,2084.96,Dine-in,Credit Card,9,Friday,14,High Discount,Weekday,Non-Peak,High-Value,2025,September,Friday,5,Afternoon
100290,2025-05-06,13:13:00,,Hyderabad,,Farmhouse,Veg,Large,4,478.4,0.0,95.68,2009.28,Delivery,UPI,5,Thursday,13,No Discount,Weekday,Non-Peak,High-Value,2025,May,Tuesday,2,Afternoon
100291,2025-04-11,16:25:00,,Noida,,Indi Chicken Tikka,Chicken,Personal,4,399.2,239.52,67.86,1425.14,Delivery,Wallet,4,Tuesday,16,High Discount,Weekday,Non-Peak,High-Value,2025,April,Friday,5,Afternoon
100293,2025-12-09,22:01:00,,Pune,,Farmhouse,Veg,Personal,2,239.2,0.0,23.92,502.32,Dine-in,UPI,12,Friday,22,No Discount,Weekday,Non-Peak,Mid-Value,2025,December,Tuesday,2,Late Night
100294,2025-02-12,11:23:00,,Chennai,,Indi Tandoori Paneer,Veg,Medium,3,557.7,250.97,71.11,1493.24,Dine-in,Cash,2,Tuesday,11,High Discount,Weekday,Non-Peak,High-Value,2025,February,Wednesday,3,Morning
100298,2025-08-08,20:15:00,,Ghaziabad,,Indi Tandoori Paneer,Veg,Personal,4,343.2,68.64,65.21,1369.37,Takeaway,UPI,8,Friday,20,Medium Discount,Weekday,Peak,High-Value,2025,August,Friday,5,Peak Evening
100302,2025-02-08,14:16:00,,Chennai,,Chicken Dominator,Chicken,Personal,3,479.2,0.0,71.88,1509.48,Dine-in,Cash,2,Saturday,14,No Discount,Weekend,Non-Peak,High-Value,2025,February,Saturday,6,Afternoon
100303,2025-09-11,14:25:00,,Ghaziabad,,Chicken Dominator,Chicken,Personal,2,479.2,95.84,43.13,905.69,Takeaway,Cash,9,Sunday,14,Medium Discount,Weekday,Non-Peak,Mid-Value,2025,September,Thursday,4,Afternoon
100305,2025-08-06,18:26:00,,Gurugram,,Farmhouse,Veg,Personal,3,239.2,0.0,35.88,753.48,Dine-in,Credit Card,8,Sunday,18,No Discount,Weekday,Peak,Mid-Value,2025,August,Wednesday,3,Peak Evening
100308,2025-03-04,13:02:00,,Mumbai,,Pepper Barbecue Chicken,Chicken,Medium,3,583.7,0.0,87.56,1838.66,Delivery,Credit Card,3,Thursday,13,No Discount,Weekday,Non-Peak,High-Value,2025,March,Tuesday,2,Afternoon
100311,2025-02-12,19:55:00,,Bengaluru,,Margherita,Veg,Personal,2,119.2,0.0,11.92,250.32,Delivery,Wallet,2,Tuesday,19,No Discount,Weekday,Peak,Low-Value,2025,February,Wednesday,3,Peak Evening
100312,2025-02-09,20:45:00,,Pune,,Margherita,Veg,Large,3,238.4,35.76,33.97,713.41,Delivery,UPI,2,Tuesday,20,Low Discount,Weekend,Peak,Mid-Value,2025,February,Sunday,7,Peak Evening
100315,2025-03-06,21:24:00,,Mumbai,,Margherita,Veg,Regular,3,149.0,22.35,21.23,445.88,Takeaway,Credit Card,3,Tuesday,21,Low Discount,Weekday,Peak,Low-Value,2025,March,Thursday,4,Peak Evening
100318,2025-03-04,14:25:00,,Chennai,,Paneer Makhani,Veg,Personal,4,279.2,0.0,55.84,1172.64,Dine-in,Cash,3,Thursday,14,No Discount,Weekday,Non-Peak,High-Value,2025,March,Tuesday,2,Afternoon
100320,2025-09-01,16:06:00,,Ghaziabad,,Indi Tandoori Paneer,Veg,Personal,4,343.2,205.92,58.34,1225.22,Takeaway,Cash,9,Thursday,16,High Discount,Weekday,Non-Peak,High-Value,2025,September,Monday,1,Afternoon
100321,2025-08-08,17:19:00,,Chennai,,Pepper Barbecue Chicken,Chicken,Personal,1,359.2,0.0,17.96,377.16,Delivery,Debit Card,8,Friday,17,No Discount,Weekday,Non-Peak,Low-Value,2025,August,Friday,5,Peak Evening
100322,2025-03-04,11:16:00,,Noida,,Cheese n Corn,Veg,Large,2,398.4,0.0,39.84,836.64,Dine-in,Wallet,3,Thursday,11,No Discount,Weekday,Non-Peak,Mid-Value,2025,March,Tuesday,2,Morning
100326,2025-10-11,20:59:00,,Mumbai,,Chicken Sausage,Chicken,Medium,1,492.7,0.0,24.64,517.34,Takeaway,Debit Card,10,Monday,20,No Discount,Weekend,Peak,Mid-Value,2025,October,Saturday,6,Peak Evening
100328,2025-01-03,20:11:00,,Jaipur,,Indi Tandoori Paneer,Veg,Medium,2,557.7,167.31,47.4,995.49,Takeaway,Debit Card,1,Saturday,20,High Discount,Weekday,Peak,Mid-Value,2025,January,Friday,5,Peak Evening
100329,2025-03-03,11:54:00,,Jaipur,,Indi Chicken Tikka,Chicken,Medium,1,648.7,0.0,32.44,681.14,Takeaway,UPI,3,Monday,11,No Discount,Weekday,Non-Peak,Mid-Value,2025,March,Monday,1,Morning
